"";"LocationID";"SessionID";"GroupID";"RecordID";"Language";"Lockdown";"start_time";"end_time";"latitude";"longitude";"Traffic";"Other";"Human";"Natural";"ISOPleasant";"ISOEventful";"pleasant";"chaotic";"vibrant";"uneventful";"calm";"annoying";"eventful";"monotonous";"Overall";"Appropriate";"loud";"sss04";"sss05";"who01";"who02";"who03";"who04";"who05";"WHO_Sum";"Age";"Gender";"occ00___Employed";"occ00___Unemployed";"occ00___Retired";"occ00___Student";"occ00___Other";"occ00___RatherNotSay";"occ00_other";"Occupation";"edu00";"eth00";"eth00_other";"misc00";"misc03";"misc03_other";"misc04";"misc01";"use00";"uni00";"res00___1";"res00___2";"res00___3";"res00___4";"res00___5";"res02";"paper";"RecordingLength";"Loudness_N5(soneGF)";"N10_N90(soneGF)";"Sharpness_S(acum)";"Rough_HM_R(asper)";"Rough_HM_Avg,arith(asper)";"FS_Avg,arith(vacil)";"I_HM_Avg,arith(iu)";"Ton_HM_Avg,arith(tuHMS)";"LZeq_L(dB(SPL))";"LAeq_L(A)(dB(SPL))";"LA10_LA90(dB(SPL))";"LCeq_LAeq(dB(SPL))";"LC10_LC90(dB(SPL))";"RA_2D_cp(cPa)";"PA(Zwicker)"
"297";"MarchmontGarden";"MarchmontGarden1";"MC104";272;"English";0;"21.03.2019 12:00";"21.03.2019 12:10";51525111;-124866;3;1;2;3;"0,7071";"-0,5";5;1;2;3;5;1;1;2;4;5;3;3;3;4;4;5;5;5;92;36;"Female";0;0;0;0;0;1;NA;"RatherNotSay";5;1;NA;NA;NA;NA;NA;NA;4;1;1;1;0;0;0;"with a baby  Estimated Start Time";1;4058;109;"2,32";165;"0,0269";"0,0269";"0,018";"0,422";"0,0681";6883;5399;"3,9";"10,75";"4,17";113;11113311
"298";"MarchmontGarden";"MarchmontGarden1";"MC105";274;"English";0;"21.03.2019 12:07";"21.03.2019 12:13";51525111;-124866;2;1;2;3;"0,4268";"-0,0732";4;2;3;3;4;2;3;2;4;4;1;4;4;4;4;3;1;3;60;30;"Female";0;0;0;1;0;0;NA;"Student";7;3;NA;NA;NA;NA;NA;NA;4;2;1;1;0;0;0;NA;0;3755;12;"3,16";167;"0,0273";"0,0273";"0,0195";"0,364";"0,126";7251;5594;"6,32";"10,16";"4,96";123;1223411085
"299";"MarchmontGarden";"MarchmontGarden1";"MC105";273;"English";0;"21.03.2019 12:01";"21.03.2019 12:11";51525111;-124866;4;2;4;2;"0,2803";"-0,0732";4;4;2;2;5;2;2;2;4;4;4;4;4;3;3;2;3;2;52;23;"Female";0;0;0;1;0;0;NA;"Student";7;NA;NA;NA;NA;NA;NA;NA;4;2;1;1;0;0;0;"Estimated Start Time";1;3755;12;"3,16";167;"0,0273";"0,0273";"0,0195";"0,364";"0,126";7251;5594;"6,32";"10,16";"4,96";123;1223411085
"300";"MarchmontGarden";"MarchmontGarden1";"MC106";275;"English";0;"21.03.2019 12:03";"21.03.2019 12:17";51525111;-124866;3;2;2;3;"0,1768";"0,1768";4;3;3;3;3;3;4;2;4;4;1;3;3;4;4;4;4;5;84;44;"Male";1;0;0;0;0;0;NA;"Employed";7;1;NA;NA;NA;NA;NA;NA;4;1;1;1;0;0;0;NA;0;6067;128;"3,33";17;"0,0276";"0,0276";"0,0179";"0,4";"0,133";7779;557;"5,77";"16,33";"10,16";132;1303872459
"301";"MarchmontGarden";"MarchmontGarden1";"MC107";276;"English";0;"21.03.2019 12:10";"21.03.2019 12:20";51525111;-124866;3;2;3;3;"0,25";"0,1036";4;3;4;2;4;3;3;3;4;4;3;4;4;3;3;3;3;4;64;30;"Female";0;0;1;0;1;0;"Artist";"Retired";7;1;NA;NA;NA;NA;NA;NA;4;1;1;1;0;0;0;"Estimated Start Time";1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"302";"MarchmontGarden";"MarchmontGarden1";"MC108";277;"English";0;"21.03.2019 12:13";"21.03.2019 12:19";51525111;-124866;1;4;3;3;"0,25";"-0,3536";3;2;3;4;4;2;2;3;4;4;3;4;4;4;4;4;2;4;72;42;"Male";1;0;0;0;0;0;NA;"Employed";5;3;NA;NA;NA;NA;NA;NA;4;1;1;1;0;0;0;NA;0;3721;132;"3,85";179;"0,0262";"0,0262";"0,0132";"0,382";"0,156";7013;563;"5,06";"10,2";"6,97";114;1348077935
"303";"MarchmontGarden";"MarchmontGarden1";"MC109";NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3102;102;"1,72";164;"0,0267";"0,0267";"0,00724";"0,354";"0,0978";6942;5376;"3,05";"12,06";"4,01";107;1036612917
"304";"MarchmontGarden";"MarchmontGarden1";"MC110";278;"English";0;"21.03.2019 12:10";"21.03.2019 12:20";51525111;-124866;2;1;2;1;"0,8536";"0,2071";5;2;4;2;5;1;4;1;4;4;1;3;5;4;2;3;3;3;60;32;"Female";0;0;0;1;0;0;NA;"Student";7;3;NA;"UCL";NA;NA;NA;NA;4;1;1;1;0;0;0;"Estimated Start Time";1;3072;129;"4,1";178;"0,0308";"0,0308";"0,0211";"0,687";"0,0851";7169;5553;"7,35";"12";"3,33";128;13202326
"305";"MarchmontGarden";"MarchmontGarden1";"MC111";280;"English";0;"21.03.2019 12:22";"21.03.2019 12:32";51525111;-124866;2;2;3;3;"0,5607";"-0,4393";5;1;1;4;5;1;4;3;4;4;3;4;4;4;4;3;2;3;64;26;"Female";0;0;0;1;0;0;NA;"Student";7;3;NA;"UCL";NA;NA;NA;"No";4;2;1;1;0;0;0;NA;1;3291;124;"3,27";167;"0,0276";"0,0276";"0,0191";"0,397";"0,109";7111;5756;"5,85";"9,23";"3,29";118;1263895981
"306";"MarchmontGarden";"MarchmontGarden1";"MC111";279;"English";0;"21.03.2019 12:22";"21.03.2019 12:32";51525111;-124866;2;3;2;2;"0,0732";"-0,2803";3;2;3;4;3;3;2;3;3;4;3;3;2;3;3;0;3;4;52;28;"Female";0;0;0;1;0;0;NA;"Student";7;3;NA;"Ucl";NA;NA;NA;NA;4;2;1;1;0;0;0;NA;0;3291;124;"3,27";167;"0,0276";"0,0276";"0,0191";"0,397";"0,109";7111;5756;"5,85";"9,23";"3,29";118;1263895981
